accommodates,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,price
4,1,Real Bed,2,3,1,moderate,1,t,f,1,f,6,0,House,,,,,,Entire home/apt,$370.00 
6,1.5,Real Bed,3,5,1,strict,4,t,f,1,f,365,21,House,10,10,9,97,9,Entire home/apt,$114.00 
3,1,Real Bed,0,1,2,strict,1,t,f,2,f,90,4,Apartment,10,10,10,100,10,Entire home/apt,$143.00 
6,2,Real Bed,3,3,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$750.00 
4,1,Real Bed,1,2,1,moderate,1,t,t,1,f,1125,23,House,10,10,10,100,10,Entire home/apt,$115.00 
4,1,Real Bed,0,2,1,strict,1,t,f,1,t,1125,7,House,9,10,10,97,10,Entire home/apt,$90.00 
5,2,Real Bed,3,5,1,strict,1,t,f,1,t,1125,2,House,10,10,10,96,10,Entire home/apt,$180.00 
6,1,Real Bed,3,4,17,strict,4,t,f,21,f,1125,15,House,10,9,9,95,10,Entire home/apt,$180.00 
4,2,Real Bed,2,2,1,strict,1,t,f,1,f,1125,1,House,10,10,10,100,8,Entire home/apt,$499.00 
5,1,Real Bed,1,2,1,strict,1,t,f,1,f,2,0,Apartment,,,,,,Entire home/apt,$400.00 
4,1,Real Bed,2,3,2,strict,4,t,t,2,f,120,5,House,10,10,10,100,9,Entire home/apt,$150.00 
6,1,Real Bed,2,4,2,strict,5,t,f,2,f,1125,5,House,10,10,9,80,10,Entire home/apt,$200.00 
2,2,Real Bed,2,2,1,flexible,1,t,f,1,f,1125,2,House,10,10,10,100,10,Entire home/apt,$100.00 
6,1.5,Real Bed,3,4,1,strict,1,t,f,1,t,365,1,House,10,8,10,80,6,Entire home/apt,$225.00 
4,1,Real Bed,1,2,1,moderate,1,t,f,1,f,1125,36,House,10,10,9,95,9,Entire home/apt,$85.00 
4,1,Real Bed,1,2,1,flexible,4,t,f,1,f,1125,0,Apartment,,,,,,Entire home/apt,$175.00 
3,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,1,Apartment,10,10,10,100,10,Entire home/apt,$95.00 
6,2,Real Bed,3,3,2,flexible,1,t,f,8,f,1125,5,House,9,10,10,84,9,Entire home/apt,$106.00 
9,2.5,Real Bed,3,3,1,moderate,1,t,f,1,f,14,0,House,,,,,,Entire home/apt,$800.00 
4,1,Real Bed,0,2,1,flexible,3,t,f,1,f,1125,2,Apartment,10,10,10,100,10,Entire home/apt,$135.00 
5,1.5,Real Bed,3,3,1,strict,1,t,f,1,f,8,0,House,,,,,,Entire home/apt,$399.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,28,8,House,10,10,10,100,10,Private room,$55.00 
4,1,Real Bed,2,2,1,flexible,1,t,f,1,f,1125,0,Apartment,,,,,,Entire home/apt,$250.00 
2,1,Couch,1,1,1,flexible,1,t,f,1,f,1125,0,Apartment,,,,,,Shared room,$75.00 
4,1,Real Bed,1,2,1,strict,4,t,t,1,t,1125,13,House,10,10,10,100,10,Entire home/apt,$185.00 
5,2,Real Bed,3,3,1,moderate,1,t,f,1,f,1125,5,House,10,10,10,100,10,Entire home/apt,$199.00 
5,3,Real Bed,3,3,1,strict,1,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$350.00 
6,1,Real Bed,1,3,1,flexible,1,t,f,1,f,1125,0,Townhouse,,,,,,Entire home/apt,$85.00 
3,1,Real Bed,2,2,3,flexible,1,t,f,3,f,1125,1,Apartment,10,10,8,100,10,Entire home/apt,$97.00 
2,1,Real Bed,1,2,1,moderate,2,t,f,1,f,8,7,Apartment,10,10,10,96,10,Entire home/apt,$61.00 
2,1,Real Bed,1,1,2,strict,2,t,f,2,f,125,5,House,10,10,10,100,10,Entire home/apt,$120.00 
7,2,Real Bed,2,2,1,moderate,1,t,f,1,f,6,0,House,,,,,,Entire home/apt,$700.00 
4,1,Real Bed,2,2,1,flexible,1,t,f,1,f,14,0,House,,,,,,Entire home/apt,$625.00 
8,4,Real Bed,8,8,4,strict,8,t,f,4,f,1125,5,Apartment,9,9,9,100,10,Entire home/apt,$700.00 
4,1,Real Bed,2,2,2,strict,0,t,t,2,f,1125,1,House,10,10,10,80,10,Entire home/apt,$250.00 
4,1,Real Bed,2,3,1,strict,1,t,f,1,f,105,1,House,,,,,,Entire home/apt,$160.00 
2,1,Real Bed,1,2,2,flexible,1,t,t,2,f,1125,21,House,10,10,9,97,10,Private room,$40.00 
4,1.5,Real Bed,1,1,1,flexible,1,t,t,5,f,1125,69,House,10,10,9,99,10,Private room,$33.00 
6,2.5,Real Bed,1,3,1,flexible,2,t,t,5,f,1125,0,House,,,,,,Private room,$59.00 
2,,Real Bed,1,,1,moderate,1,t,f,1,f,1125,0,Apartment,,,,,,Shared room,$65.00 
2,1.5,Real Bed,1,1,1,flexible,1,t,t,5,f,1125,32,House,10,10,9,98,10,Shared room,$22.00 
2,1.5,Real Bed,1,1,1,flexible,1,t,t,5,f,1125,32,House,10,10,9,96,10,Private room,$27.00 
10,2.5,Real Bed,4,4,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$350.00 
2,1.5,Futon,1,1,1,flexible,1,t,f,1,t,1125,1,House,10,10,10,100,10,Private room,$80.00 
6,2,Real Bed,1,3,1,flexible,3,t,t,5,f,1125,1,House,10,10,10,100,10,Private room,$80.00 
2,1,Real Bed,1,2,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$450.00 
2,1.5,Real Bed,1,1,1,flexible,1,t,f,1,t,7,10,House,10,10,10,100,10,Private room,$40.00 
2,1,Real Bed,1,1,2,flexible,1,t,t,2,f,30,26,House,10,10,9,96,10,Private room,$40.00 
1,2.5,Real Bed,1,1,10,strict,2,t,t,12,f,365,5,House,9,10,9,96,10,Private room,$55.00 
3,1.5,Airbed,1,1,1,strict,1,t,f,2,t,1125,0,House,,,,,,Private room,$50.00 
